Unieke identificatie gemeten parameter,CASnummer,AQUO_Codes,AQUO_Omschrijving,ISC_Parameter,Geanalyseerde fractie,Aanpak kwantificeringsgrens,Unieke identificatie van de eenheid,grootheid_code,wadar_PARCode,hoedanigheid_code
1392,7440-50-8,Cu,koper,koper (Cu) opgelost,nf,<,µg/L,CONCTTE,Cu,NVT
1392,7440-50-8,Cu,koper,koper (Cu) opgelost,nf,<,µg/L,CONCTTE,Cu,nf
1392,7440-50-8,Cu,koper,koper (Cu) opgelost,nf,=,µg/L,CONCTTE,Cu,NVT
1392,7440-50-8,Cu,koper,koper (Cu) opgelost,nf,=,µg/L,CONCTTE,Cu,nf
1433,14265-44-2,PO4,fosfaat,Opgeloste orthofosfaten,nf,=,mg/L P,CONCTTE,PO4,Pnf
1439,479-61-8,CHLFa,chlorofyl-a,Chlorofyl a,NVT,=,µg/L,CONCTTE,CHLFa,NVT
1439,479-61-8,CHLFa,chlorofyl-a,Chlorofyl a,NVT,<,µg/L,CONCTTE,CHLFa,NVT
1458,120-12-7,Ant,antraceen,Antraceen,NVT,<,µg/L,CONCTTE,Ant,OPGLT
1458,120-12-7,Ant,antraceen,Antraceen,NVT,=,µg/L,CONCTTE,Ant,OPGLT
1464,470-90-6,Clfvfs,chloorfenvinfos,Chloorfenvinfos,NVT,<,µg/L,CONCTTE,Clfvfs,NVT
1517,91-20-3,Naf,naftaleen,Naftaleen,NVT,<,µg/L,CONCTTE,Naf,NVT
1517,91-20-3,Naf,naftaleen,Naftaleen,NVT,=,µg/L,CONCTTE,Naf,NVT
1629,108-70-3,135TClBen,"1,3,5-trichloorbenzeen","1,3,5 Trichloorbenzeen",NVT,<,µg/L,CONCTTE,135TClBen,NVT
1630,87-61-6,123TClBen,"1,2,3-trichloorbenzeen","1,2,3 Trichloorbenzeen",NVT,<,µg/L,CONCTTE,123TClBen,NVT
1652,87-68-3,HxClbtDen,hexachloorbutadieen,Hexachloorbutadieen,NVT,<,µg/L,CONCTTE,HxClbtDen,OPGLT
1688,74070-46-5,acnfn,aclonifen,aclonifen,NVT,<,µg/L,CONCTTE,acnfn,NVT
1688,74070-46-5,acnfn,aclonifen,aclonifen,NVT,=,µg/L,CONCTTE,acnfn,NVT
1877,138261-41-3,imdcpd,imidacloprid,imidacloprid,NVT,<,µg/L,CONCTTE,imdcpd,NVT
1877,138261-41-3,imdcpd,imidacloprid,imidacloprid,NVT,=,µg/L,CONCTTE,imdcpd,NVT
1888,608-93-5,PeClBen,pentachloorbenzeen,Pentachloorbenzeen,NVT,<,µg/L,CONCTTE,PeClBen,NVT
1935,28159-98-0,irgrl,irgarol,cybutryne,NVT,<,µg/L,CONCTTE,irgrl,NVT
1959,140-66-9,4ttC8yFol,4-tertiair-octylfenol,"4-(1,1',3,3' - tetramethylbutyl)-fenol (Para-tert-octylfenol)",NVT,<,µg/L,CONCTTE,4ttC8yFol,NVT
2028,124495-18-7,quinoxfn,quinoxyfen,Quinoxyfen,NVT,<,µg/L,CONCTTE,quinoxfn,NVT
2879,36643-28-4,TC4ySn,tributyltin (kation),Verbindingen van tributyltin (Tributyltin kation),NVT,=,µg/L,CONCTTE,TC4ySn,NVT
2879,36643-28-4,TC4ySn,tributyltin (kation),Verbindingen van tributyltin (Tributyltin kation),NVT,<,µg/L,CONCTTE,TC4ySn,NVT
2911,207122-15-4,PBDE154,"2,2',4,4',5,6'-hexabroomdifenylether","PBDE154 (2,2',4,4',5,6'-hexabroomdifenylether)",,,,CONCTTE,PBDE154,NVT
2912,68631-49-2,PBDE153,"2,2',4,4',5,5'-hexabroomdifenylether","PBDE153 (2,2',4,4',5,5'-hexabroomdifenylether)",,,,CONCTTE,PBDE153,OPGLT
2915,189084-64-8,PBDE100,"2,2',4,4',6-pentabroomdifenylether","PBDE100 (2,2',4,4',6-pentabroomdifenylether)",,,,CONCTTE,PBDE100,OPGLT
2916,60348-60-9,PBDE99,"2,2',4,4',5-pentabroomdifenylether","PBDE99 (2,2',4,4',5-pentabroomdifenylether)",,,,CONCTTE,PBDE99,OPGLT
2919,5436-43-1,PBDE47,"2,2',4,4'-tetrabroomdifenylether","PBDE47 (2,2',4,4'-tetrabroomdifenylether)",,,,CONCTTE,PBDE47,OPGLT
2920,41318-75-6,PBDE28,"2,4,4'-tribroomdifenylether","PBDE28 (2,4,4'-tribroomdifenylether)",,,,CONCTTE,PBDE28,OPGLT
5347,335-67-1,PFOA,perfluoroctaanzuur,PFOA,NVT,<,µg/L,CONCTTE,PFOA,OPGLT
5347,335-67-1,PFOA,perfluoroctaanzuur,PFOA,NVT,=,µg/L,CONCTTE,PFOA,OPGLT
5978,307-24-4,PFHxA,perfluorhexaanzuur,PFHxA,NVT,=,µg/L,CONCTTE,PFHxA,OPGLT
5978,307-24-4,PFHxA,perfluorhexaanzuur,PFHxA,NVT,<,µg/L,CONCTTE,PFHxA,OPGLT
5979,2706-90-3,PFPA,perfluorpentaanzuur,PFPeA,NVT,<,µg/L,CONCTTE,PFPA,OPGLT
5979,2706-90-3,PFPA,perfluorpentaanzuur,PFPeA,NVT,=,µg/L,CONCTTE,PFPA,OPGLT
6616,117-81-7,DEHP,bis(2-ethylhexyl)ftalaat (DEHP),Di(2-ethylhexyl)ftalaat DEHP,NVT,<,µg/L,CONCTTE,DEHP,NVT
6616,117-81-7,DEHP,bis(2-ethylhexyl)ftalaat (DEHP),Di(2-ethylhexyl)ftalaat DEHP,NVT,=,µg/L,CONCTTE,DEHP,NVT
6830,355-46-4,L_PFHxS,perfluorhexaansulfonzuur,PFHxS,NVT,<,µg/L,CONCTTE,L_PFHxS,OPGLT
6830,355-46-4,L_PFHxS,perfluorhexaansulfonzuur,PFHxS,NVT,=,µg/L,CONCTTE,L_PFHxS,OPGLT
7073,16984-48-8,F,fluoride,Anorganische fluoriden = fluoride opgelost,nf,=,mg/L,CONCTTE,F,NVT
7073,16984-48-8,F,fluoride,Anorganische fluoriden = fluoride opgelost,nf,<,mg/L,CONCTTE,F,NVT
